681	 107	 591	 57	 661	 502	 400	 383
Everyone Says I Love You (1996)	 Third Man, The (1949)	 Full Metal Jacket (1987)	 Supercop (1992)	 Supercop (1992)	 Apartment, The (1960)	 Rumble in the Bronx (1995)	 What's Eating Gilbert Grape (1993)

5	 350	 689	 607	 698	 849	 770	 365
Cinema Paradiso (1988)	 Trainspotting (1996)	 U Turn (1997)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Haunted World of Edward D. Wood Jr., The (1995)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)
Maltese Falcon, The (1941)	 English Patient, The (1996)	 Jude (1996)	 Heat (1995)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Heat (1995)	 What's Eating Gilbert Grape (1993)
Seven (Se7en) (1995)	 Supercop (1992)	 Rainmaker, The (1997)	 Legends of the Fall (1994)	 Haunted World of Edward D. Wood Jr., The (1995)	 Delicatessen (1991)	 Local Hero (1983)	 Taxi Driver (1976)
2001: A Space Odyssey (1968)	 Restoration (1995)	 Breakdown (1997)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Raiders of the Lost Ark (1981)	 Snow White and the Seven Dwarfs (1937)	 3 Ninjas: High Noon At Mega Mountain (1998)
Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Emma (1996)	 Dances with Wolves (1990)	 Raiders of the Lost Ark (1981)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Shining, The (1980)	 Mighty Aphrodite (1995)
George of the Jungle (1997)	 2001: A Space Odyssey (1968)	 Game, The (1997)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
GoldenEye (1995)	 Jack (1996)	 Mrs. Doubtfire (1993)	 Priest (1994)	 English Patient, The (1996)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Local Hero (1983)
Amadeus (1984)	 Richard III (1995)	 What's Eating Gilbert Grape (1993)	 Spawn (1997)	 Princess Bride, The (1987)	 French Twist (Gazon maudit) (1995)	 Clockwork Orange, A (1971)	 Spawn (1997)
Dead Man Walking (1995)	 So I Married an Axe Murderer (1993)	 Rocket Man (1997)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)	 North by Northwest (1959)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Heat (1995)
Full Monty, The (1997)	 Everyone Says I Love You (1996)	 Apt Pupil (1998)	 Princess Bride, The (1987)	 Heavy Metal (1981)	 GoodFellas (1990)	 Everyone Says I Love You (1996)	 In the Name of the Father (1993)

920	 6	 731	 566	 684	 256	 537	 841
3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Priest (1994)	 Priest (1994)	 Legends of the Fall (1994)	 Trainspotting (1996)
Everyone Says I Love You (1996)	 Heavy Metal (1981)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Supercop (1992)	 Evita (1996)	 Princess Bride, The (1987)	 Everyone Says I Love You (1996)
Heavy Metal (1981)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)	 Local Hero (1983)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 GoodFellas (1990)	 Maltese Falcon, The (1941)
Spawn (1997)	 Haunted World of Edward D. Wood Jr., The (1995)	 Jack (1996)	 Gattaca (1997)	 Mighty Aphrodite (1995)	 Snow White and the Seven Dwarfs (1937)	 Brazil (1985)	 Harold and Maude (1971)
Richard III (1995)	 Jack (1996)	 Wings of Desire (1987)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Blues Brothers, The (1980)
Maltese Falcon, The (1941)	 GoodFellas (1990)	 North by Northwest (1959)	 It Happened One Night (1934)	 Trainspotting (1996)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Raging Bull (1980)
Snow White and the Seven Dwarfs (1937)	 Princess Bride, The (1987)	 Priest (1994)	 Jack (1996)	 Jack (1996)	 Princess Bride, The (1987)	 Bringing Up Baby (1938)	 It Happened One Night (1934)
Heat (1995)	 Babe (1995)	 Heavy Metal (1981)	 Mighty Aphrodite (1995)	 Spawn (1997)	 Supercop (1992)	 Jack (1996)	 Annie Hall (1977)
Bringing Up Baby (1938)	 Brazil (1985)	 Trainspotting (1996)	 2001: A Space Odyssey (1968)	 Full Metal Jacket (1987)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Jack (1996)
Local Hero (1983)	 Wrong Trousers, The (1993)	 Snow White and the Seven Dwarfs (1937)	 Amadeus (1984)	 Wings of Desire (1987)	 Sleeper (1973)	 Haunted World of Edward D. Wood Jr., The (1995)	 Gone with the Wind (1939)

230	 98	 419	 814	 281	 13	 367	 764
Winter Guest, The (1997)	 Priest (1994)	 Snow White and the Seven Dwarfs (1937)	 Dances with Wolves (1990)	 Richard III (1995)	 What's Eating Gilbert Grape (1993)	 Priest (1994)	 Mighty Aphrodite (1995)
Mother (1996)	 Dances with Wolves (1990)	 Evita (1996)	 Mighty Aphrodite (1995)	 First Wives Club, The (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Snow White and the Seven Dwarfs (1937)	 Cinema Paradiso (1988)
Searching for Bobby Fischer (1993)	 Dead Poets Society (1989)	 George of the Jungle (1997)	 Priest (1994)	 Priest (1994)	 Everyone Says I Love You (1996)	 Supercop (1992)	 It Happened One Night (1934)
Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 U Turn (1997)	 Legends of the Fall (1994)	 Local Hero (1983)	 Taxi Driver (1976)	 Spawn (1997)	 Heavy Metal (1981)
Ulee's Gold (1997)	 Legends of the Fall (1994)	 Brazil (1985)	 Supercop (1992)	 Cinema Paradiso (1988)	 Harold and Maude (1971)	 Gattaca (1997)	 Trainspotting (1996)
It Happened One Night (1934)	 Patton (1970)	 What's Eating Gilbert Grape (1993)	 Dead Poets Society (1989)	 Delicatessen (1991)	 Heat (1995)	 It Happened One Night (1934)	 Jack (1996)
Jungle2Jungle (1997)	 Turbo: A Power Rangers Movie (1997)	 Gattaca (1997)	 George of the Jungle (1997)	 Palookaville (1996)	 Brazil (1985)	 Apocalypse Now (1979)	 Priest (1994)
Some Like It Hot (1959)	 Brazil (1985)	 Leaving Las Vegas (1995)	 Brazil (1985)	 Seven (Se7en) (1995)	 Mighty Aphrodite (1995)	 Local Hero (1983)	 Pump Up the Volume (1990)
Spawn (1997)	 So I Married an Axe Murderer (1993)	 Legends of the Fall (1994)	 Return of the Jedi (1983)	 Evil Dead II (1987)	 M*A*S*H (1970)	 Everyone Says I Love You (1996)	 Gattaca (1997)
Gattaca (1997)	 Unforgiven (1992)	 Kundun (1997)	 Snow White and the Seven Dwarfs (1937)	 Dead Man Walking (1995)	 In the Name of the Father (1993)	 Raging Bull (1980)	 Apartment, The (1960)

859	 729	 280	 462	 413	 538	 165	 148
Richard III (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Prisoner of the Mountains (Kavkazsky Plennik) (1996)	 Heavy Metal (1981)	 Legends of the Fall (1994)	 Supercop (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)
Everyone Says I Love You (1996)	 Snow White and the Seven Dwarfs (1937)	 Cinema Paradiso (1988)	 Jack (1996)	 Brazil (1985)	 Trainspotting (1996)	 What's Eating Gilbert Grape (1993)	 Marvin's Room (1996)
Supercop (1992)	 Mighty Aphrodite (1995)	 Window to Paris (1994)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Priest (1994)	 Four Weddings and a Funeral (1994)	 Maltese Falcon, The (1941)
What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 This Is Spinal Tap (1984)	 2001: A Space Odyssey (1968)	 Dances with Wolves (1990)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Jungle2Jungle (1997)
Spawn (1997)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 Richard III (1995)	 Priest (1994)	 Wings of Desire (1987)	 Heat (1995)	 Pink Floyd - The Wall (1982)
It Happened One Night (1934)	 Heat (1995)	 Fish Called Wanda, A (1988)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)	 2001: A Space Odyssey (1968)	 Legends of the Fall (1994)	 It Happened One Night (1934)
Heat (1995)	 Maltese Falcon, The (1941)	 Godfather: Part II, The (1974)	 Spawn (1997)	 Princess Bride, The (1987)	 Nikita (La Femme Nikita) (1990)	 Taxi Driver (1976)	 Mr. Holland's Opus (1995)
Snow White and the Seven Dwarfs (1937)	 Brazil (1985)	 Indiana Jones and the Last Crusade (1989)	 Trainspotting (1996)	 Mighty Aphrodite (1995)	 Heavy Metal (1981)	 Desperate Measures (1998)	 What's Eating Gilbert Grape (1993)
Jungle2Jungle (1997)	 It Happened One Night (1934)	 Haunted World of Edward D. Wood Jr., The (1995)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 In & Out (1997)	 Heat (1995)
Local Hero (1983)	 Heavy Metal (1981)	 Beverly Hills Ninja (1997)	 Wings of Desire (1987)	 Ulee's Gold (1997)	 Spawn (1997)	 Cable Guy, The (1996)	 Local Hero (1983)

304	 249	 929	 68	 369	 508	 193	 253
Legends of the Fall (1994)	 Platoon (1986)	 2001: A Space Odyssey (1968)	 Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)
Priest (1994)	 First Wives Club, The (1996)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Much Ado About Nothing (1993)	 Priest (1994)	 Richard III (1995)
Supercop (1992)	 Mighty Aphrodite (1995)	 English Patient, The (1996)	 What's Eating Gilbert Grape (1993)	 Local Hero (1983)	 Dances with Wolves (1990)	 Jungle2Jungle (1997)	 Heavy Metal (1981)
Full Metal Jacket (1987)	 Local Hero (1983)	 Harold and Maude (1971)	 Heat (1995)	 Jack (1996)	 Cable Guy, The (1996)	 Haunted World of Edward D. Wood Jr., The (1995)	 2001: A Space Odyssey (1968)
Raging Bull (1980)	 Snow White and the Seven Dwarfs (1937)	 It Happened One Night (1934)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)	 M*A*S*H (1970)	 Jack (1996)	 Priest (1994)
Everyone Says I Love You (1996)	 Good, The Bad and The Ugly, The (1966)	 Cinema Paradiso (1988)	 Priest (1994)	 Heat (1995)	 In & Out (1997)	 Spawn (1997)	 English Patient, The (1996)
Spawn (1997)	 Heat (1995)	 Searching for Bobby Fischer (1993)	 Everyone Says I Love You (1996)	 Shining, The (1980)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)
Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Supercop (1992)	 Ulee's Gold (1997)	 Clockwork Orange, A (1971)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Spawn (1997)
What's Eating Gilbert Grape (1993)	 Priest (1994)	 Richard III (1995)	 Cinema Paradiso (1988)	 Pump Up the Volume (1990)	 Dead Poets Society (1989)	 Maltese Falcon, The (1941)	 Lost World: Jurassic Park, The (1997)
Snow White and the Seven Dwarfs (1937)	 Willy Wonka and the Chocolate Factory (1971)	 North by Northwest (1959)	 Supercop (1992)	 Haunted World of Edward D. Wood Jr., The (1995)	 What's Eating Gilbert Grape (1993)	 Wings of Desire (1987)	 What's Eating Gilbert Grape (1993)

795	 715	 584	 243	 292	 446	 880	 469
Cinema Paradiso (1988)	 Legends of the Fall (1994)	 Priest (1994)	 Everyone Says I Love You (1996)	 I.Q. (1994)	 Priest (1994)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
Jack (1996)	 GoodFellas (1990)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Spawn (1997)	 Snow White and the Seven Dwarfs (1937)	 Spawn (1997)
Trainspotting (1996)	 Princess Bride, The (1987)	 Supercop (1992)	 What's Eating Gilbert Grape (1993)	 Priest (1994)	 Critical Care (1997)	 Heat (1995)	 Supercop (1992)
Supercop (1992)	 Dances with Wolves (1990)	 Trainspotting (1996)	 It Happened One Night (1934)	 What's Eating Gilbert Grape (1993)	 Alien (1979)	 Mighty Aphrodite (1995)	 Nikita (La Femme Nikita) (1990)
Priest (1994)	 What's Eating Gilbert Grape (1993)	 2001: A Space Odyssey (1968)	 Snow White and the Seven Dwarfs (1937)	 Snow White and the Seven Dwarfs (1937)	 First Wives Club, The (1996)	 Everyone Says I Love You (1996)	 Full Metal Jacket (1987)
Maltese Falcon, The (1941)	 Raiders of the Lost Ark (1981)	 Cinema Paradiso (1988)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Heavy Metal (1981)	 Everyone Says I Love You (1996)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)
It Happened One Night (1934)	 Brazil (1985)	 Heavy Metal (1981)	 Nikita (La Femme Nikita) (1990)	 Supercop (1992)	 Local Hero (1983)	 Local Hero (1983)	 Clockwork Orange, A (1971)
Mighty Aphrodite (1995)	 So I Married an Axe Murderer (1993)	 It Happened One Night (1934)	 Leaving Las Vegas (1995)	 Cinema Paradiso (1988)	 Naked (1993)	 Spawn (1997)	 Brazil (1985)
2001: A Space Odyssey (1968)	 Shall We Dance? (1996)	 Jack (1996)	 Full Monty, The (1997)	 Princess Bride, The (1987)	 Raging Bull (1980)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)
First Wives Club, The (1996)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Local Hero (1983)	 Brazil (1985)	 Snow White and the Seven Dwarfs (1937)	 Ulee's Gold (1997)	 What's Eating Gilbert Grape (1993)

278	 57	 510	 533	 31	 665	 885	 843
Everyone Says I Love You (1996)	 Brazil (1985)	 Legends of the Fall (1994)	 Usual Suspects, The (1995)	 Heavy Metal (1981)	 Jack (1996)	 Priest (1994)	 Priest (1994)
Marvin's Room (1996)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 French Twist (Gazon maudit) (1995)	 Everyone Says I Love You (1996)	 Supercop (1992)	 Heavy Metal (1981)	 Rumble in the Bronx (1995)
Heat (1995)	 Taxi Driver (1976)	 Snow White and the Seven Dwarfs (1937)	 Taxi Driver (1976)	 Heat (1995)	 Legends of the Fall (1994)	 Jack (1996)	 Ulee's Gold (1997)
Priest (1994)	 Dances with Wolves (1990)	 Brazil (1985)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Shining, The (1980)	 Maltese Falcon, The (1941)	 Supercop (1992)
Snow White and the Seven Dwarfs (1937)	 What's Eating Gilbert Grape (1993)	 Princess Bride, The (1987)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)
Local Hero (1983)	 Princess Bride, The (1987)	 Spawn (1997)	 Hot Shots! Part Deux (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Cinema Paradiso (1988)	 Richard III (1995)	 Full Monty, The (1997)
What's Eating Gilbert Grape (1993)	 GoodFellas (1990)	 What's Eating Gilbert Grape (1993)	 Dances with Wolves (1990)	 Local Hero (1983)	 Trainspotting (1996)	 Trainspotting (1996)	 Stand by Me (1986)
Spawn (1997)	 Dead Poets Society (1989)	 Priest (1994)	 Snow White and the Seven Dwarfs (1937)	 Maltese Falcon, The (1941)	 Haunted World of Edward D. Wood Jr., The (1995)	 Wrong Trousers, The (1993)	 2001: A Space Odyssey (1968)
Back to the Future (1985)	 Mighty Aphrodite (1995)	 Ulee's Gold (1997)	 Lawnmower Man, The (1992)	 Spawn (1997)	 2001: A Space Odyssey (1968)	 Ulee's Gold (1997)	 First Wives Club, The (1996)
Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Supercop (1992)	 Princess Bride, The (1987)	 It Happened One Night (1934)	 Clockwork Orange, A (1971)	 Gattaca (1997)	 Maltese Falcon, The (1941)

454	 323	 213	 428	 674	 435	 447	 700
Priest (1994)	 Heavy Metal (1981)	 Everyone Says I Love You (1996)	 Peacemaker, The (1997)	 Everyone Says I Love You (1996)	 Evita (1996)	 Legends of the Fall (1994)	 George of the Jungle (1997)
Legends of the Fall (1994)	 Nikita (La Femme Nikita) (1990)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Seven (Se7en) (1995)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Brazil (1985)	 So I Married an Axe Murderer (1993)
Heat (1995)	 Supercop (1992)	 Maltese Falcon, The (1941)	 Apt Pupil (1998)	 Local Hero (1983)	 Alien (1979)	 Gone with the Wind (1939)	 Maltese Falcon, The (1941)
Princess Bride, The (1987)	 Ulee's Gold (1997)	 Shadowlands (1993)	 Washington Square (1997)	 As Good As It Gets (1997)	 On Golden Pond (1981)	 Ulee's Gold (1997)	 Snow White and the Seven Dwarfs (1937)
Usual Suspects, The (1995)	 It Happened One Night (1934)	 Full Monty, The (1997)	 Pest, The (1997)	 What's Eating Gilbert Grape (1993)	 Spitfire Grill, The (1996)	 Snow White and the Seven Dwarfs (1937)	 Touch of Evil (1958)
First Wives Club, The (1996)	 Rumble in the Bronx (1995)	 French Twist (Gazon maudit) (1995)	 I Know What You Did Last Summer (1997)	 Supercop (1992)	 Casino (1995)	 Bringing Up Baby (1938)	 Third Man, The (1949)
What's Eating Gilbert Grape (1993)	 Blues Brothers, The (1980)	 Turbo: A Power Rangers Movie (1997)	 Big Lebowski, The (1998)	 It Happened One Night (1934)	 Raising Arizona (1987)	 Harold and Maude (1971)	 Cinema Paradiso (1988)
Mighty Aphrodite (1995)	 Harold and Maude (1971)	 What's Eating Gilbert Grape (1993)	 Man Who Knew Too Little, The (1997)	 Spawn (1997)	 Evil Dead II (1987)	 Maltese Falcon, The (1941)	 English Patient, The (1996)
Cinema Paradiso (1988)	 Spawn (1997)	 Better Off Dead... (1985)	 Lassie (1994)	 My Life as a Dog (Mitt liv som hund) (1985)	 Good, The Bad and The Ugly, The (1966)	 Pump Up the Volume (1990)	 Star Trek: First Contact (1996)
Haunted World of Edward D. Wood Jr., The (1995)	 Snow White and the Seven Dwarfs (1937)	 Raiders of the Lost Ark (1981)	 Love Bug, The (1969)	 In the Name of the Father (1993)	 Jane Eyre (1996)	 Shining, The (1980)	 Jack (1996)

488	 394	 629	 45	 460	 103	 245	 898
What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Jack (1996)	 Priest (1994)	 Cable Guy, The (1996)
Snow White and the Seven Dwarfs (1937)	 Mighty Aphrodite (1995)	 Emma (1996)	 Dead Poets Society (1989)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Cinema Paradiso (1988)	 Mr. Holland's Opus (1995)	 Brazil (1985)
Cinema Paradiso (1988)	 Desperate Measures (1998)	 U Turn (1997)	 Wrong Trousers, The (1993)	 Brazil (1985)	 Legends of the Fall (1994)	 Richard III (1995)	 Much Ado About Nothing (1993)
Haunted World of Edward D. Wood Jr., The (1995)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Raiders of the Lost Ark (1981)	 Taxi Driver (1976)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Blues Brothers, The (1980)
Good, The Bad and The Ugly, The (1966)	 Heat (1995)	 In the Name of the Father (1993)	 So I Married an Axe Murderer (1993)	 So I Married an Axe Murderer (1993)	 Dances with Wolves (1990)	 2001: A Space Odyssey (1968)	 Supercop (1992)
Heat (1995)	 In the Name of the Father (1993)	 Crow: City of Angels, The (1996)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)
Sleepless in Seattle (1993)	 As Good As It Gets (1997)	 Cop Land (1997)	 Shining, The (1980)	 Raiders of the Lost Ark (1981)	 Brazil (1985)	 Seven (Se7en) (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)
Star Trek III: The Search for Spock (1984)	 Taxi Driver (1976)	 Starship Troopers (1997)	 Everyone Says I Love You (1996)	 Princess Bride, The (1987)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Bringing Up Baby (1938)
3 Ninjas: High Noon At Mega Mountain (1998)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Evita (1996)	 Mighty Aphrodite (1995)	 GoodFellas (1990)	 George of the Jungle (1997)	 Spawn (1997)	 Everyone Says I Love You (1996)
Army of Darkness (1993)	 GoodFellas (1990)	 As Good As It Gets (1997)	 Jack (1996)	 Babe (1995)	 Haunted World of Edward D. Wood Jr., The (1995)	 George of the Jungle (1997)	 Apartment, The (1960)

763	 476	 803	 838	 608	 850	 387	 558
Raiders of the Lost Ark (1981)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Priest (1994)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)
Local Hero (1983)	 Platoon (1986)	 Brazil (1985)	 Everyone Says I Love You (1996)	 Supercop (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Snow White and the Seven Dwarfs (1937)	 Jack (1996)
Legends of the Fall (1994)	 Heathers (1989)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Snow White and the Seven Dwarfs (1937)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)
First Wives Club, The (1996)	 First Wives Club, The (1996)	 GoodFellas (1990)	 Fierce Creatures (1997)	 Spawn (1997)	 Brazil (1985)	 It Happened One Night (1934)	 It Happened One Night (1934)
Spawn (1997)	 It Happened One Night (1934)	 Dances with Wolves (1990)	 Bad Moon (1996)	 Jack (1996)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 2001: A Space Odyssey (1968)
Mighty Aphrodite (1995)	 Afterglow (1997)	 Princess Bride, The (1987)	 Jack (1996)	 2001: A Space Odyssey (1968)	 Cable Guy, The (1996)	 Local Hero (1983)	 Everyone Says I Love You (1996)
Priest (1994)	 Raise the Red Lantern (1991)	 Taxi Driver (1976)	 Cat on a Hot Tin Roof (1958)	 Everyone Says I Love You (1996)	 Casino (1995)	 Supercop (1992)	 What's Eating Gilbert Grape (1993)
Snow White and the Seven Dwarfs (1937)	 Spawn (1997)	 Army of Darkness (1993)	 Local Hero (1983)	 Trainspotting (1996)	 Heat (1995)	 Mighty Aphrodite (1995)	 Apartment, The (1960)
Supercop (1992)	 Legends of the Fall (1994)	 Dead Poets Society (1989)	 Phenomenon (1996)	 Snow White and the Seven Dwarfs (1937)	 M*A*S*H (1970)	 Spawn (1997)	 Full Monty, The (1997)
Apocalypse Now (1979)	 Apartment, The (1960)	 Good, The Bad and The Ugly, The (1966)	 Graduate, The (1967)	 Cinema Paradiso (1988)	 In & Out (1997)	 Heat (1995)	 Dead Man Walking (1995)

532	 815	 595	 259	 517	 308	 156	 294
Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Jack (1996)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Supercop (1992)
3 Ninjas: High Noon At Mega Mountain (1998)	 What's Eating Gilbert Grape (1993)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Jack (1996)	 Legends of the Fall (1994)	 Nikita (La Femme Nikita) (1990)
Heavy Metal (1981)	 Heat (1995)	 Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Haunted World of Edward D. Wood Jr., The (1995)	 Local Hero (1983)	 2001: A Space Odyssey (1968)
Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Marvin's Room (1996)	 Cinema Paradiso (1988)	 Trainspotting (1996)	 Maltese Falcon, The (1941)
Taxi Driver (1976)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Mighty Aphrodite (1995)	 Taxi Driver (1976)	 Legends of the Fall (1994)	 Princess Bride, The (1987)	 Spawn (1997)	 Legends of the Fall (1994)
Shining, The (1980)	 Everyone Says I Love You (1996)	 Local Hero (1983)	 Apartment, The (1960)	 Cinema Paradiso (1988)	 Raiders of the Lost Ark (1981)	 Jack (1996)	 Apartment, The (1960)
What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Heat (1995)	 Brazil (1985)	 So I Married an Axe Murderer (1993)	 Maltese Falcon, The (1941)	 Wings of Desire (1987)	 Blues Brothers, The (1980)
Tomorrow Never Dies (1997)	 Jack (1996)	 Spawn (1997)	 Heat (1995)	 Trainspotting (1996)	 Wrong Trousers, The (1993)	 Gattaca (1997)	 Shining, The (1980)
Wings of Desire (1987)	 Brazil (1985)	 Pump Up the Volume (1990)	 In & Out (1997)	 Better Off Dead... (1985)	 GoodFellas (1990)	 Everyone Says I Love You (1996)	 Clockwork Orange, A (1971)
Jack (1996)	 Ulee's Gold (1997)	 Cinema Paradiso (1988)	 Raiders of the Lost Ark (1981)	 As Good As It Gets (1997)	 Dirty Dancing (1987)	 Priest (1994)	 It Happened One Night (1934)

76	 484	 220	 610	 586	 867	 617	 741
Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Apocalypse Now (1979)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)
Mighty Aphrodite (1995)	 Star Trek III: The Search for Spock (1984)	 Haunted World of Edward D. Wood Jr., The (1995)	 Heavy Metal (1981)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Marvin's Room (1996)
Heavy Metal (1981)	 Legends of the Fall (1994)	 Gattaca (1997)	 Snow White and the Seven Dwarfs (1937)	 2001: A Space Odyssey (1968)	 Shall We Dance? (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Local Hero (1983)
Priest (1994)	 Leaving Las Vegas (1995)	 Jack (1996)	 Harold and Maude (1971)	 GoldenEye (1995)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
Supercop (1992)	 Jack (1996)	 First Wives Club, The (1996)	 Nikita (La Femme Nikita) (1990)	 Snow White and the Seven Dwarfs (1937)	 2001: A Space Odyssey (1968)	 Legends of the Fall (1994)	 Ulee's Gold (1997)
Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Priest (1994)	 Spawn (1997)	 Spawn (1997)	 Army of Darkness (1993)	 Local Hero (1983)	 What's Eating Gilbert Grape (1993)
English Patient, The (1996)	 Batman Returns (1992)	 Amadeus (1984)	 What's Eating Gilbert Grape (1993)	 Boot, Das (1981)	 Pink Floyd - The Wall (1982)	 Ulee's Gold (1997)	 Heat (1995)
Princess Bride, The (1987)	 Princess Bride, The (1987)	 Wrong Trousers, The (1993)	 Shining, The (1980)	 Harold and Maude (1971)	 Princess Bride, The (1987)	 Marvin's Room (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)
Platoon (1986)	 Everyone Says I Love You (1996)	 Touch of Evil (1958)	 Jack (1996)	 Raging Bull (1980)	 Jack (1996)	 North by Northwest (1959)	 Spawn (1997)
