455	 402	 922	 234	 724	 425	 788
Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Four Weddings and a Funeral (1994)	 So I Married an Axe Murderer (1993)	 Cable Guy, The (1996)	 Nikita (La Femme Nikita) (1990)	 Mighty Aphrodite (1995)
Brazil (1985)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Brazil (1985)	 Evil Dead II (1987)	 Heavy Metal (1981)	 Nikita (La Femme Nikita) (1990)
Snow White and the Seven Dwarfs (1937)	 In the Name of the Father (1993)	 Brazil (1985)	 Full Metal Jacket (1987)	 Starship Troopers (1997)	 Jack (1996)	 Raiders of the Lost Ark (1981)
3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)	 Wings of Desire (1987)	 Wings of Desire (1987)	 Princess Bride, The (1987)	 Spawn (1997)	 Apartment, The (1960)

143	 505	 695	 926	 822	 603	 77
Supercop (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Supercop (1992)
Legends of the Fall (1994)	 Heat (1995)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)	 Brazil (1985)	 Priest (1994)
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Bringing Up Baby (1938)	 What's Eating Gilbert Grape (1993)	 Restoration (1995)
2001: A Space Odyssey (1968)	 What's Eating Gilbert Grape (1993)	 Princess Bride, The (1987)	 Mighty Aphrodite (1995)	 Snow White and the Seven Dwarfs (1937)	 Princess Bride, The (1987)	 Maltese Falcon, The (1941)
Princess Bride, The (1987)	 Snow White and the Seven Dwarfs (1937)	 What's Eating Gilbert Grape (1993)	 In the Name of the Father (1993)	 Die Hard (1988)	 GoodFellas (1990)	 Trainspotting (1996)
Brazil (1985)	 In & Out (1997)	 Brazil (1985)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 2001: A Space Odyssey (1968)
Snow White and the Seven Dwarfs (1937)	 Ridicule (1996)	 Shining, The (1980)	 Legends of the Fall (1994)	 Harold and Maude (1971)	 Mighty Aphrodite (1995)	 Stand by Me (1986)
Full Metal Jacket (1987)	 Emma (1996)	 GoodFellas (1990)	 Heat (1995)	 Leaving Las Vegas (1995)	 Cinema Paradiso (1988)	 Jack (1996)
Cinema Paradiso (1988)	 Heavy Metal (1981)	 Spawn (1997)	 It Happened One Night (1934)	 Bad Moon (1996)	 Maltese Falcon, The (1941)	 English Patient, The (1996)
Clockwork Orange, A (1971)	 It Happened One Night (1934)	 Cat on a Hot Tin Roof (1958)	 Dances with Wolves (1990)	 Raging Bull (1980)	 Taxi Driver (1976)	 Full Metal Jacket (1987)

128	 735	 663	 801	 20	 559	 404
Cable Guy, The (1996)	 Everyone Says I Love You (1996)	 Heavy Metal (1981)	 Everyone Says I Love You (1996)	 Jack (1996)	 English Patient, The (1996)	 What's Eating Gilbert Grape (1993)
Starship Troopers (1997)	 Bringing Up Baby (1938)	 English Patient, The (1996)	 What's Eating Gilbert Grape (1993)	 Trainspotting (1996)	 Heavy Metal (1981)	 Everyone Says I Love You (1996)
Mrs. Doubtfire (1993)	 Die Hard (1988)	 Turbo: A Power Rangers Movie (1997)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Sling Blade (1996)
Sling Blade (1996)	 Citizen Kane (1941)	 Full Monty, The (1997)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Jack (1996)	 Desperate Measures (1998)
Batman Returns (1992)	 What's Eating Gilbert Grape (1993)	 It Happened One Night (1934)	 It Happened One Night (1934)	 As Good As It Gets (1997)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)
Strange Days (1995)	 Maltese Falcon, The (1941)	 Snow White and the Seven Dwarfs (1937)	 3 Ninjas: High Noon At Mega Mountain (1998)	 So I Married an Axe Murderer (1993)	 Cinema Paradiso (1988)	 Batman Forever (1995)
In & Out (1997)	 Harold and Maude (1971)	 Mighty Aphrodite (1995)	 Jack (1996)	 It Happened One Night (1934)	 Trainspotting (1996)	 Ridicule (1996)
Dances with Wolves (1990)	 Clockwork Orange, A (1971)	 Cinema Paradiso (1988)	 Ulee's Gold (1997)	 English Patient, The (1996)	 2001: A Space Odyssey (1968)	 Heat (1995)
Twister (1996)	 Tin Cup (1996)	 Maltese Falcon, The (1941)	 Brazil (1985)	 Dead Man Walking (1995)	 So I Married an Axe Murderer (1993)	 Snow White and the Seven Dwarfs (1937)
Maya Lin: A Strong Clear Vision (1994)	 Sabrina (1954)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)	 Haunted World of Edward D. Wood Jr., The (1995)	 Ulee's Gold (1997)

766	 817	 119	 554	 575	 509	 385
Three Colors: White (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Mighty Aphrodite (1995)	 Snow White and the Seven Dwarfs (1937)	 George of the Jungle (1997)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)
Mr. Holland's Opus (1995)	 Taxi Driver (1976)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Snow White and the Seven Dwarfs (1937)	 English Patient, The (1996)	 What's Eating Gilbert Grape (1993)
Trainspotting (1996)	 What's Eating Gilbert Grape (1993)	 Priest (1994)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 2001: A Space Odyssey (1968)	 3 Ninjas: High Noon At Mega Mountain (1998)
Three Colors: Blue (1993)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 It Happened One Night (1934)	 Jungle2Jungle (1997)	 Trainspotting (1996)	 Heat (1995)
Local Hero (1983)	 Brazil (1985)	 So I Married an Axe Murderer (1993)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Clockwork Orange, A (1971)	 Mighty Aphrodite (1995)
Third Man, The (1949)	 Hot Shots! Part Deux (1993)	 Snow White and the Seven Dwarfs (1937)	 Apartment, The (1960)	 What's Eating Gilbert Grape (1993)	 Supercop (1992)	 In the Name of the Father (1993)
Jungle2Jungle (1997)	 M*A*S*H (1970)	 Haunted World of Edward D. Wood Jr., The (1995)	 Jack (1996)	 Amadeus (1984)	 Jack (1996)	 Maltese Falcon, The (1941)
English Patient, The (1996)	 Much Ado About Nothing (1993)	 Supercop (1992)	 Clockwork Orange, A (1971)	 Maltese Falcon, The (1941)	 Annie Hall (1977)	 Ulee's Gold (1997)
2001: A Space Odyssey (1968)	 Legends of the Fall (1994)	 2001: A Space Odyssey (1968)	 Harold and Maude (1971)	 Heavy Metal (1981)	 North by Northwest (1959)	 As Good As It Gets (1997)
Nikita (La Femme Nikita) (1990)	 Breakdown (1997)	 Mr. Smith Goes to Washington (1939)	 North by Northwest (1959)	 Jack (1996)	 Gone with the Wind (1939)	 Legends of the Fall (1994)

313	 408	 372	 360	 606	 715	 691
Richard III (1995)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Supercop (1992)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)
Searching for Bobby Fischer (1993)	 Mighty Aphrodite (1995)	 Four Weddings and a Funeral (1994)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 GoodFellas (1990)	 Everyone Says I Love You (1996)
Citizen Kane (1941)	 Haunted World of Edward D. Wood Jr., The (1995)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Snow White and the Seven Dwarfs (1937)	 Princess Bride, The (1987)	 Four Weddings and a Funeral (1994)
2001: A Space Odyssey (1968)	 Raiders of the Lost Ark (1981)	 Hot Shots! Part Deux (1993)	 Brazil (1985)	 Everyone Says I Love You (1996)	 Dances with Wolves (1990)	 What's Eating Gilbert Grape (1993)
Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Snow White and the Seven Dwarfs (1937)	 Mighty Aphrodite (1995)	 Local Hero (1983)	 What's Eating Gilbert Grape (1993)	 Taxi Driver (1976)
Harold and Maude (1971)	 Priest (1994)	 Taxi Driver (1976)	 Jack (1996)	 Spawn (1997)	 Raiders of the Lost Ark (1981)	 Spawn (1997)
Maltese Falcon, The (1941)	 It Happened One Night (1934)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)	 Wings of Desire (1987)	 Brazil (1985)	 Brazil (1985)
Notorious (1946)	 Jack (1996)	 Brazil (1985)	 Princess Bride, The (1987)	 Raging Bull (1980)	 So I Married an Axe Murderer (1993)	 Snow White and the Seven Dwarfs (1937)
North by Northwest (1959)	 Usual Suspects, The (1995)	 Spawn (1997)	 GoodFellas (1990)	 Shining, The (1980)	 Shall We Dance? (1996)	 In the Name of the Father (1993)
Cat on a Hot Tin Roof (1958)	 Cinema Paradiso (1988)	 Dances with Wolves (1990)	 3 Ninjas: High Noon At Mega Mountain (1998)	 2001: A Space Odyssey (1968)	 Mighty Aphrodite (1995)	 Hot Shots! Part Deux (1993)

574	 506	 489	 864	 110	 854	 444
What's Eating Gilbert Grape (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 What's Eating Gilbert Grape (1993)	 Heat (1995)	 Legends of the Fall (1994)	 Brazil (1985)	 Everyone Says I Love You (1996)
Priest (1994)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Princess Bride, The (1987)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)
Maltese Falcon, The (1941)	 Bringing Up Baby (1938)	 3 Ninjas: High Noon At Mega Mountain (1998)	 What's Eating Gilbert Grape (1993)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)	 Heat (1995)
Harold and Maude (1971)	 Local Hero (1983)	 Taxi Driver (1976)	 Platoon (1986)	 GoodFellas (1990)	 Bringing Up Baby (1938)	 Taxi Driver (1976)
Spawn (1997)	 Die Hard (1988)	 Brazil (1985)	 Heavy Metal (1981)	 Dances with Wolves (1990)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Marvin's Room (1996)
Everyone Says I Love You (1996)	 In & Out (1997)	 GoodFellas (1990)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Kull the Conqueror (1997)	 Mighty Aphrodite (1995)
It Happened One Night (1934)	 Tales From the Crypt Presents: Demon Knight (1995)	 Everyone Says I Love You (1996)	 Snow White and the Seven Dwarfs (1937)	 M*A*S*H (1970)	 Snow White and the Seven Dwarfs (1937)	 Four Weddings and a Funeral (1994)
As Good As It Gets (1997)	 Harold and Maude (1971)	 Kull the Conqueror (1997)	 Back to the Future (1985)	 Star Trek III: The Search for Spock (1984)	 Deer Hunter, The (1978)	 Spawn (1997)
Jack (1996)	 Citizen Kane (1941)	 Princess Bride, The (1987)	 In the Name of the Father (1993)	 Unforgiven (1992)	 Mask, The (1994)	 Graduate, The (1967)
In the Name of the Father (1993)	 Cat on a Hot Tin Roof (1958)	 Hot Shots! Part Deux (1993)	 Usual Suspects, The (1995)	 Sling Blade (1996)	 Mighty Aphrodite (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)

823	 221	 556	 581	 394	 863	 90
Jack (1996)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Heat (1995)
Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 GoodFellas (1990)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)
So I Married an Axe Murderer (1993)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Princess Bride, The (1987)	 Desperate Measures (1998)	 In the Name of the Father (1993)	 Legends of the Fall (1994)
Cinema Paradiso (1988)	 Local Hero (1983)	 2001: A Space Odyssey (1968)	 Evita (1996)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)
Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 North by Northwest (1959)	 Maltese Falcon, The (1941)	 Heat (1995)	 As Good As It Gets (1997)	 Shining, The (1980)
Snow White and the Seven Dwarfs (1937)	 Heat (1995)	 English Patient, The (1996)	 Shall We Dance? (1996)	 In the Name of the Father (1993)	 Jack (1996)	 Cinema Paradiso (1988)
Ridicule (1996)	 Marvin's Room (1996)	 Shining, The (1980)	 George of the Jungle (1997)	 As Good As It Gets (1997)	 Army of Darkness (1993)	 Nikita (La Femme Nikita) (1990)
North by Northwest (1959)	 Legends of the Fall (1994)	 It Happened One Night (1934)	 Secret of Roan Inish, The (1994)	 Taxi Driver (1976)	 Maltese Falcon, The (1941)	 Brazil (1985)
Haunted World of Edward D. Wood Jr., The (1995)	 It Happened One Night (1934)	 Wings of Desire (1987)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Heathers (1989)	 Gattaca (1997)
Ulee's Gold (1997)	 Ulee's Gold (1997)	 Local Hero (1983)	 2001: A Space Odyssey (1968)	 GoodFellas (1990)	 Princess Bride, The (1987)	 Casablanca (1942)

292	 640	 286	 885	 296	 592	 328
I.Q. (1994)	 Clockwork Orange, A (1971)	 Legends of the Fall (1994)	 Priest (1994)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)
Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Heavy Metal (1981)	 Heat (1995)	 Maltese Falcon, The (1941)	 Nikita (La Femme Nikita) (1990)
Priest (1994)	 Trainspotting (1996)	 Brazil (1985)	 Jack (1996)	 Everyone Says I Love You (1996)	 Spawn (1997)	 Bad Moon (1996)
What's Eating Gilbert Grape (1993)	 Bringing Up Baby (1938)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Harold and Maude (1971)	 Gone with the Wind (1939)
Snow White and the Seven Dwarfs (1937)	 It Happened One Night (1934)	 Ulee's Gold (1997)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 It Happened One Night (1934)	 English Patient, The (1996)
Heavy Metal (1981)	 Mr. Holland's Opus (1995)	 Princess Bride, The (1987)	 Richard III (1995)	 Local Hero (1983)	 Snow White and the Seven Dwarfs (1937)	 2001: A Space Odyssey (1968)
Supercop (1992)	 Strawberry and Chocolate (Fresa y chocolate) (1993)	 Priest (1994)	 Trainspotting (1996)	 Heavy Metal (1981)	 Nikita (La Femme Nikita) (1990)	 Time Tracers (1995)
Cinema Paradiso (1988)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Wrong Trousers, The (1993)	 Harold and Maude (1971)	 Richard III (1995)	 It Happened One Night (1934)
Princess Bride, The (1987)	 North by Northwest (1959)	 Evita (1996)	 Ulee's Gold (1997)	 Ridicule (1996)	 Local Hero (1983)	 Everyone Says I Love You (1996)
Brazil (1985)	 Kicking and Screaming (1995)	 Apartment, The (1960)	 Gattaca (1997)	 Nikita (La Femme Nikita) (1990)	 Heavy Metal (1981)	 Spawn (1997)

610	 32	 895	 897	 513	 113	 569
3 Ninjas: High Noon At Mega Mountain (1998)	 Trainspotting (1996)	 Supercop (1992)	 Legends of the Fall (1994)	 Priest (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 It Happened One Night (1934)
Heavy Metal (1981)	 2001: A Space Odyssey (1968)	 It Happened One Night (1934)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)	 Snow White and the Seven Dwarfs (1937)	 North by Northwest (1959)
Snow White and the Seven Dwarfs (1937)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Raiders of the Lost Ark (1981)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)
Harold and Maude (1971)	 Cinema Paradiso (1988)	 Harold and Maude (1971)	 Princess Bride, The (1987)	 Spawn (1997)	 In the Name of the Father (1993)	 Notorious (1946)
Nikita (La Femme Nikita) (1990)	 Maltese Falcon, The (1941)	 Trainspotting (1996)	 Taxi Driver (1976)	 Legends of the Fall (1994)	 As Good As It Gets (1997)	 Snow White and the Seven Dwarfs (1937)
Spawn (1997)	 Aliens (1986)	 Maltese Falcon, The (1941)	 Full Metal Jacket (1987)	 Snow White and the Seven Dwarfs (1937)	 Local Hero (1983)	 Supercop (1992)
What's Eating Gilbert Grape (1993)	 Supercop (1992)	 Return of the Jedi (1983)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Heat (1995)	 Spawn (1997)
Shining, The (1980)	 North by Northwest (1959)	 Mighty Aphrodite (1995)	 Four Weddings and a Funeral (1994)	 Supercop (1992)	 It Happened One Night (1934)	 Night of the Living Dead (1968)
Jack (1996)	 English Patient, The (1996)	 Everyone Says I Love You (1996)	 Good, The Bad and The Ugly, The (1966)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Nikita (La Femme Nikita) (1990)	 Supercop (1992)	 Local Hero (1983)	 Akira (1988)	 Apartment, The (1960)

361	 625	 16	 439	 746	 80	 821
Heavy Metal (1981)	 Mighty Aphrodite (1995)	 Quiz Show (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 George of the Jungle (1997)	 Everyone Says I Love You (1996)	 Spawn (1997)
Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 In the Name of the Father (1993)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Jack (1996)	 Snow White and the Seven Dwarfs (1937)
Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Silence of the Lambs, The (1991)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)
Supercop (1992)	 Heat (1995)	 Bringing Up Baby (1938)	 Taxi Driver (1976)	 As Good As It Gets (1997)	 Marvin's Room (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)
Trainspotting (1996)	 Spawn (1997)	 Snow White and the Seven Dwarfs (1937)	 Heat (1995)	 In the Name of the Father (1993)	 Haunted World of Edward D. Wood Jr., The (1995)	 What's Eating Gilbert Grape (1993)
Spawn (1997)	 Snow White and the Seven Dwarfs (1937)	 Unbearable Lightness of Being, The (1988)	 Legends of the Fall (1994)	 Amadeus (1984)	 Trainspotting (1996)	 Local Hero (1983)
2001: A Space Odyssey (1968)	 Maltese Falcon, The (1941)	 Harold and Maude (1971)	 Emma (1996)	 Seven (Se7en) (1995)	 2001: A Space Odyssey (1968)	 Ulee's Gold (1997)
Wings of Desire (1987)	 Local Hero (1983)	 Maltese Falcon, The (1941)	 Four Weddings and a Funeral (1994)	 Heavy Metal (1981)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)
Mr. Holland's Opus (1995)	 Heavy Metal (1981)	 3 Ninjas: High Noon At Mega Mountain (1998)	 U Turn (1997)	 Heat (1995)	 Annie Hall (1977)	 Nikita (La Femme Nikita) (1990)
Rumble in the Bronx (1995)	 It Happened One Night (1934)	 Heat (1995)	 Dances with Wolves (1990)	 Ridicule (1996)	 Cinema Paradiso (1988)	 Supercop (1992)

457	 252	 846	 210	 452	 314	 129
Priest (1994)	 Legends of the Fall (1994)	 Marvin's Room (1996)	 Legends of the Fall (1994)	 Taxi Driver (1976)	 Blues Brothers, The (1980)	 What's Eating Gilbert Grape (1993)
Trainspotting (1996)	 Supercop (1992)	 Everyone Says I Love You (1996)	 Supercop (1992)	 Breakdown (1997)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)
Supercop (1992)	 What's Eating Gilbert Grape (1993)	 Dark City (1998)	 Apartment, The (1960)	 Cable Guy, The (1996)	 Shining, The (1980)	 Citizen Kane (1941)
Jack (1996)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Shining, The (1980)	 Much Ado About Nothing (1993)	 Apartment, The (1960)	 Mighty Aphrodite (1995)
Spawn (1997)	 Brazil (1985)	 George of the Jungle (1997)	 Maltese Falcon, The (1941)	 Mrs. Doubtfire (1993)	 Clockwork Orange, A (1971)	 Supercop (1992)
First Wives Club, The (1996)	 Snow White and the Seven Dwarfs (1937)	 So I Married an Axe Murderer (1993)	 Full Metal Jacket (1987)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)
Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 In the Name of the Father (1993)	 Brazil (1985)	 Twister (1996)	 Supercop (1992)	 Heat (1995)
Snow White and the Seven Dwarfs (1937)	 Apartment, The (1960)	 Local Hero (1983)	 Clockwork Orange, A (1971)	 U Turn (1997)	 Harold and Maude (1971)	 Lost World: Jurassic Park, The (1997)
English Patient, The (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Taxi Driver (1976)	 It Happened One Night (1934)	 Brazil (1985)	 Army of Darkness (1993)	 Akira (1988)
Apocalypse Now (1979)	 Mighty Aphrodite (1995)	 Robert A. Heinlein's The Puppet Masters (1994)	 2001: A Space Odyssey (1968)	 Dead Poets Society (1989)	 It Happened One Night (1934)	 Local Hero (1983)

433	 250	 866	 666	 100	 355	 49
Legends of the Fall (1994)	 Priest (1994)	 Apocalypse Now (1979)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Better Off Dead... (1985)	 Legends of the Fall (1994)
Everyone Says I Love You (1996)	 Snow White and the Seven Dwarfs (1937)	 So I Married an Axe Murderer (1993)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Phenomenon (1996)	 Supercop (1992)
3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)	 Jack (1996)	 Maltese Falcon, The (1941)	 Priest (1994)	 Rock, The (1996)	 Wings of Desire (1987)
What's Eating Gilbert Grape (1993)	 Local Hero (1983)	 Two Bits (1995)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Aliens (1986)	 Full Metal Jacket (1987)
Heat (1995)	 What's Eating Gilbert Grape (1993)	 Heavy Metal (1981)	 Harold and Maude (1971)	 Spawn (1997)	 Seven (Se7en) (1995)	 Everyone Says I Love You (1996)
Mighty Aphrodite (1995)	 It Happened One Night (1934)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 Dead Poets Society (1989)	 Jack (1996)	 Princess Bride, The (1987)
In the Name of the Father (1993)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Clockwork Orange, A (1971)	 Legends of the Fall (1994)	 Searching for Bobby Fischer (1993)	 Spawn (1997)
Princess Bride, The (1987)	 Haunted World of Edward D. Wood Jr., The (1995)	 Haunted World of Edward D. Wood Jr., The (1995)	 Priest (1994)	 Usual Suspects, The (1995)	 Jungle2Jungle (1997)	 Somewhere in Time (1980)
GoodFellas (1990)	 Spawn (1997)	 Supercop (1992)	 Snow White and the Seven Dwarfs (1937)	 3 Ninjas: High Noon At Mega Mountain (1998)	 2001: A Space Odyssey (1968)	 Heat (1995)
Taxi Driver (1976)	 Mighty Aphrodite (1995)	 Van, The (1996)	 Heat (1995)	 Princess Bride, The (1987)	 English Patient, The (1996)	 Dead Poets Society (1989)

767	 253	 493	 332	 485	 47	 270
Heavy Metal (1981)	 Everyone Says I Love You (1996)	 Priest (1994)	 Ulee's Gold (1997)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Heavy Metal (1981)
Everyone Says I Love You (1996)	 Richard III (1995)	 Everyone Says I Love You (1996)	 As Good As It Gets (1997)	 Brazil (1985)	 Marvin's Room (1996)	 English Patient, The (1996)
Supercop (1992)	 Heavy Metal (1981)	 Dances with Wolves (1990)	 Heat (1995)	 GoodFellas (1990)	 Maltese Falcon, The (1941)	 Rumble in the Bronx (1995)
2001: A Space Odyssey (1968)	 2001: A Space Odyssey (1968)	 Full Metal Jacket (1987)	 Snow White and the Seven Dwarfs (1937)	 Princess Bride, The (1987)	 What's Eating Gilbert Grape (1993)	 Three Colors: White (1994)
Legends of the Fall (1994)	 Priest (1994)	 Dead Poets Society (1989)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 Critical Care (1997)
Spawn (1997)	 English Patient, The (1996)	 Mighty Aphrodite (1995)	 Touch of Evil (1958)	 Everyone Says I Love You (1996)	 Supercop (1992)	 First Wives Club, The (1996)
Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Supercop (1992)	 Spawn (1997)	 Maltese Falcon, The (1941)	 So I Married an Axe Murderer (1993)	 2001: A Space Odyssey (1968)
What's Eating Gilbert Grape (1993)	 Spawn (1997)	 What's Eating Gilbert Grape (1993)	 In the Name of the Father (1993)	 Unforgiven (1992)	 Spawn (1997)	 Raise the Red Lantern (1991)
Mighty Aphrodite (1995)	 Lost World: Jurassic Park, The (1997)	 In the Name of the Father (1993)	 Devil's Advocate, The (1997)	 Bringing Up Baby (1938)	 Priest (1994)	 Restoration (1995)
Trainspotting (1996)	 What's Eating Gilbert Grape (1993)	 As Good As It Gets (1997)	 Return of the Jedi (1983)	 Four Weddings and a Funeral (1994)	 Snow White and the Seven Dwarfs (1937)	 Touch of Evil (1958)

46	 870	 515	 520	 241	 101	 369
Legends of the Fall (1994)	 Apocalypse Now (1979)	 Heat (1995)	 Searching for Bobby Fischer (1993)	 Heat (1995)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)
Heavy Metal (1981)	 Priest (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Nikita (La Femme Nikita) (1990)	 Everyone Says I Love You (1996)	 Taxi Driver (1976)	 Maltese Falcon, The (1941)
Brazil (1985)	 Rumble in the Bronx (1995)	 Mighty Aphrodite (1995)	 Jungle2Jungle (1997)	 3 Ninjas: High Noon At Mega Mountain (1998)	 What's Eating Gilbert Grape (1993)	 Local Hero (1983)
Maltese Falcon, The (1941)	 Supercop (1992)	 Brazil (1985)	 Trainspotting (1996)	 Local Hero (1983)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Jack (1996)
Supercop (1992)	 Return of the Jedi (1983)	 Haunted World of Edward D. Wood Jr., The (1995)	 Phenomenon (1996)	 Ulee's Gold (1997)	 Legends of the Fall (1994)	 Legends of the Fall (1994)
Cinema Paradiso (1988)	 Heavy Metal (1981)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Heavy Metal (1981)	 Brazil (1985)	 Heat (1995)
What's Eating Gilbert Grape (1993)	 Alien (1979)	 Cinema Paradiso (1988)	 Picture Perfect (1997)	 What's Eating Gilbert Grape (1993)	 Raiders of the Lost Ark (1981)	 Shining, The (1980)
Everyone Says I Love You (1996)	 Right Stuff, The (1983)	 Raiders of the Lost Ark (1981)	 Raging Bull (1980)	 Maltese Falcon, The (1941)	 Princess Bride, The (1987)	 Clockwork Orange, A (1971)
Princess Bride, The (1987)	 Sleeper (1973)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Marvin's Room (1996)	 Heat (1995)	 Pump Up the Volume (1990)
Wings of Desire (1987)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Angels and Insects (1995)	 Snow White and the Seven Dwarfs (1937)	 Mighty Aphrodite (1995)	 Haunted World of Edward D. Wood Jr., The (1995)

278	 732	 393	 839	 366	 828	 720
