923	 33	 346	 162
Dances with Wolves (1990)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)
What's Eating Gilbert Grape (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Jack (1996)	 Keys to Tulsa (1997)
Supercop (1992)	 Brazil (1985)	 Maltese Falcon, The (1941)	 Better Off Dead... (1985)
3 Ninjas: High Noon At Mega Mountain (1998)	 Taxi Driver (1976)	 Princess Bride, The (1987)	 Maltese Falcon, The (1941)
Dead Poets Society (1989)	 So I Married an Axe Murderer (1993)	 Cinema Paradiso (1988)	 Juror, The (1996)
Full Metal Jacket (1987)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)
It Happened One Night (1934)	 Raiders of the Lost Ark (1981)	 Brazil (1985)	 What's Love Got to Do with It (1993)
Brazil (1985)	 Princess Bride, The (1987)	 Everyone Says I Love You (1996)	 Leaving Las Vegas (1995)
U Turn (1997)	 GoodFellas (1990)	 Haunted World of Edward D. Wood Jr., The (1995)	 Taxi Driver (1976)
Evita (1996)	 Babe (1995)	 Shining, The (1980)	 Sleepless in Seattle (1993)

184	 137	 173	 481
Pump Up the Volume (1990)	 Richard III (1995)	 Dead Poets Society (1989)	 Jack (1996)
It Happened One Night (1934)	 Maltese Falcon, The (1941)	 Dances with Wolves (1990)	 Pump Up the Volume (1990)
Maltese Falcon, The (1941)	 Jack (1996)	 Army of Darkness (1993)	 Cinema Paradiso (1988)
English Patient, The (1996)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Trainspotting (1996)
Snow White and the Seven Dwarfs (1937)	 Mr. Holland's Opus (1995)	 So I Married an Axe Murderer (1993)	 Maltese Falcon, The (1941)
Everyone Says I Love You (1996)	 Marvin's Room (1996)	 Legends of the Fall (1994)	 Better Off Dead... (1985)
Nikita (La Femme Nikita) (1990)	 Phenomenon (1996)	 In the Name of the Father (1993)	 Annie Hall (1977)
Local Hero (1983)	 Trainspotting (1996)	 What's Eating Gilbert Grape (1993)	 Dead Man Walking (1995)
Jack (1996)	 Heavy Metal (1981)	 As Good As It Gets (1997)	 Robert A. Heinlein's The Puppet Masters (1994)
Haunted World of Edward D. Wood Jr., The (1995)	 2001: A Space Odyssey (1968)	 Everyone Says I Love You (1996)	 It Happened One Night (1934)

851	 74	 18	 805
GoldenEye (1995)	 Apocalypse Now (1979)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)
Legends of the Fall (1994)	 Trainspotting (1996)	 Maltese Falcon, The (1941)	 Brazil (1985)
Brazil (1985)	 Supercop (1992)	 Princess Bride, The (1987)	 Cinema Paradiso (1988)
GoodFellas (1990)	 So I Married an Axe Murderer (1993)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)
3 Ninjas: High Noon At Mega Mountain (1998)	 Right Stuff, The (1983)	 Clockwork Orange, A (1971)	 What's Eating Gilbert Grape (1993)
Die Hard (1988)	 Jack (1996)	 Local Hero (1983)	 Legends of the Fall (1994)
M*A*S*H (1970)	 Mr. Smith Goes to Washington (1939)	 Trainspotting (1996)	 GoldenEye (1995)
Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Jack (1996)	 Raiders of the Lost Ark (1981)
Cable Guy, The (1996)	 Wrong Trousers, The (1993)	 2001: A Space Odyssey (1968)	 GoodFellas (1990)
In & Out (1997)	 Three Colors: Blue (1993)	 Good, The Bad and The Ugly, The (1966)	 Haunted World of Edward D. Wood Jr., The (1995)

380	 88	 672	 504
Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Leaving Las Vegas (1995)
Jack (1996)	 Brazil (1985)	 Brazil (1985)	 Maltese Falcon, The (1941)
Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 GoodFellas (1990)	 Gone with the Wind (1939)
Maltese Falcon, The (1941)	 GoodFellas (1990)	 Princess Bride, The (1987)	 Raging Bull (1980)
Priest (1994)	 Princess Bride, The (1987)	 Patton (1970)	 Everyone Says I Love You (1996)
Heavy Metal (1981)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Dances with Wolves (1990)	 Trainspotting (1996)
Ulee's Gold (1997)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Tin Cup (1996)
Trainspotting (1996)	 Mighty Aphrodite (1995)	 M*A*S*H (1970)	 Better Off Dead... (1985)
Harold and Maude (1971)	 Bringing Up Baby (1938)	 Wolf (1994)	 Cat on a Hot Tin Roof (1958)
Pump Up the Volume (1990)	 Taxi Driver (1976)	 Children of the Corn: The Gathering (1996)	 Amadeus (1984)

875	 602	 423	 213
Supercop (1992)	 Jack (1996)	 Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)
What's Eating Gilbert Grape (1993)	 Apocalypse Now (1979)	 Supercop (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)
Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Spawn (1997)	 Maltese Falcon, The (1941)
Spawn (1997)	 Wrong Trousers, The (1993)	 Priest (1994)	 Shadowlands (1993)
Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Full Monty, The (1997)
Snow White and the Seven Dwarfs (1937)	 Trainspotting (1996)	 Mighty Aphrodite (1995)	 French Twist (Gazon maudit) (1995)
Jack (1996)	 Haunted World of Edward D. Wood Jr., The (1995)	 Mr. Smith Goes to Washington (1939)	 Turbo: A Power Rangers Movie (1997)
It Happened One Night (1934)	 Raiders of the Lost Ark (1981)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)
Full Metal Jacket (1987)	 Maltese Falcon, The (1941)	 Local Hero (1983)	 Better Off Dead... (1985)
Priest (1994)	 Local Hero (1983)	 Right Stuff, The (1983)	 Raiders of the Lost Ark (1981)

646	 614	 873	 227
Supercop (1992)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)
Trainspotting (1996)	 Jack (1996)	 Brazil (1985)	 Mighty Aphrodite (1995)
Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 In & Out (1997)	 What's Eating Gilbert Grape (1993)
It Happened One Night (1934)	 Cinema Paradiso (1988)	 Addams Family Values (1993)	 George of the Jungle (1997)
Nikita (La Femme Nikita) (1990)	 Everyone Says I Love You (1996)	 Heat (1995)	 Cinema Paradiso (1988)
2001: A Space Odyssey (1968)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 So I Married an Axe Murderer (1993)
Spawn (1997)	 Haunted World of Edward D. Wood Jr., The (1995)	 Dances with Wolves (1990)	 Heat (1995)
Jack (1996)	 So I Married an Axe Murderer (1993)	 Crow: City of Angels, The (1996)	 Legends of the Fall (1994)
Clockwork Orange, A (1971)	 Heat (1995)	 Kull the Conqueror (1997)	 Jack (1996)
North by Northwest (1959)	 Mighty Aphrodite (1995)	 In the Name of the Father (1993)	 As Good As It Gets (1997)

298	 929	 310	 754
Everyone Says I Love You (1996)	 2001: A Space Odyssey (1968)	 George of the Jungle (1997)	 Gattaca (1997)
3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Local Hero (1983)
Haunted World of Edward D. Wood Jr., The (1995)	 English Patient, The (1996)	 Taxi Driver (1976)	 Maltese Falcon, The (1941)
Local Hero (1983)	 Harold and Maude (1971)	 What's Eating Gilbert Grape (1993)	 Delicatessen (1991)
Heavy Metal (1981)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)
Spawn (1997)	 Cinema Paradiso (1988)	 Brazil (1985)	 Graduate, The (1967)
Heat (1995)	 Searching for Bobby Fischer (1993)	 Priest (1994)	 Harold and Maude (1971)
Maltese Falcon, The (1941)	 Supercop (1992)	 Dances with Wolves (1990)	 Snow White and the Seven Dwarfs (1937)
Snow White and the Seven Dwarfs (1937)	 Richard III (1995)	 Raiders of the Lost Ark (1981)	 North by Northwest (1959)
Jack (1996)	 North by Northwest (1959)	 Hot Shots! Part Deux (1993)	 What's Eating Gilbert Grape (1993)

204	 169	 836	 787
Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)
Princess Bride, The (1987)	 Kull the Conqueror (1997)	 Snow White and the Seven Dwarfs (1937)	 What's Eating Gilbert Grape (1993)
Maltese Falcon, The (1941)	 Taxi Driver (1976)	 Everyone Says I Love You (1996)	 Bringing Up Baby (1938)
Clockwork Orange, A (1971)	 Legends of the Fall (1994)	 Nikita (La Femme Nikita) (1990)	 Maltese Falcon, The (1941)
Army of Darkness (1993)	 Brazil (1985)	 Harold and Maude (1971)	 Snow White and the Seven Dwarfs (1937)
What's Eating Gilbert Grape (1993)	 Four Weddings and a Funeral (1994)	 It Happened One Night (1934)	 Heat (1995)
Everyone Says I Love You (1996)	 GoodFellas (1990)	 Spawn (1997)	 Local Hero (1983)
Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)	 Heavy Metal (1981)	 Taxi Driver (1976)
So I Married an Axe Murderer (1993)	 Local Hero (1983)	 In the Name of the Father (1993)	 Usual Suspects, The (1995)
GoodFellas (1990)	 What's Eating Gilbert Grape (1993)	 Gone with the Wind (1939)	 Pump Up the Volume (1990)

269	 202	 85	 548
Haunted World of Edward D. Wood Jr., The (1995)	 Priest (1994)	 Maltese Falcon, The (1941)	 Supercop (1992)
Jack (1996)	 Supercop (1992)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)
Cinema Paradiso (1988)	 Restoration (1995)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)
Maltese Falcon, The (1941)	 Critical Care (1997)	 Local Hero (1983)	 What's Eating Gilbert Grape (1993)
Full Monty, The (1997)	 Blues Brothers, The (1980)	 What's Eating Gilbert Grape (1993)	 Heat (1995)
Priest (1994)	 Heavy Metal (1981)	 Jack (1996)	 Ulee's Gold (1997)
2001: A Space Odyssey (1968)	 Gone with the Wind (1939)	 Snow White and the Seven Dwarfs (1937)	 Snow White and the Seven Dwarfs (1937)
Trainspotting (1996)	 Spawn (1997)	 It Happened One Night (1934)	 Legends of the Fall (1994)
Apocalypse Now (1979)	 Apocalypse Now (1979)	 Shining, The (1980)	 Spawn (1997)
Legends of the Fall (1994)	 English Patient, The (1996)	 In the Name of the Father (1993)	 Maltese Falcon, The (1941)

468	 871	 79	 289
Maltese Falcon, The (1941)	 Supercop (1992)	 Maltese Falcon, The (1941)	 Snow White and the Seven Dwarfs (1937)
Trainspotting (1996)	 Priest (1994)	 Gone with the Wind (1939)	 Supercop (1992)
Supercop (1992)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Heat (1995)
2001: A Space Odyssey (1968)	 Spawn (1997)	 It Happened One Night (1934)	 Spawn (1997)
Rumble in the Bronx (1995)	 Everyone Says I Love You (1996)	 Harold and Maude (1971)	 Harold and Maude (1971)
It Happened One Night (1934)	 Full Metal Jacket (1987)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)
Clockwork Orange, A (1971)	 Cinema Paradiso (1988)	 Die Hard (1988)	 Maltese Falcon, The (1941)
Heavy Metal (1981)	 Local Hero (1983)	 Cat on a Hot Tin Roof (1958)	 What's Eating Gilbert Grape (1993)
Stand by Me (1986)	 Richard III (1995)	 Children of the Corn: The Gathering (1996)	 Nikita (La Femme Nikita) (1990)
Priest (1994)	 What's Eating Gilbert Grape (1993)	 Leaving Las Vegas (1995)	 Local Hero (1983)

387	 827	 494	 876
Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Priest (1994)
Snow White and the Seven Dwarfs (1937)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)	 Apocalypse Now (1979)
What's Eating Gilbert Grape (1993)	 Dances with Wolves (1990)	 GoodFellas (1990)	 Supercop (1992)
It Happened One Night (1934)	 Princess Bride, The (1987)	 Legends of the Fall (1994)	 Trainspotting (1996)
Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Taxi Driver (1976)	 Cinema Paradiso (1988)
Local Hero (1983)	 Mighty Aphrodite (1995)	 Godfather: Part II, The (1974)	 Heavy Metal (1981)
Supercop (1992)	 Raiders of the Lost Ark (1981)	 Brazil (1985)	 Ulee's Gold (1997)
Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Kull the Conqueror (1997)	 Maltese Falcon, The (1941)
Spawn (1997)	 GoodFellas (1990)	 Shining, The (1980)	 Jack (1996)
Heat (1995)	 So I Married an Axe Murderer (1993)	 Four Weddings and a Funeral (1994)	 Snow White and the Seven Dwarfs (1937)

809	 125	 856	 526
3 Ninjas: High Noon At Mega Mountain (1998)	 Priest (1994)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)
As Good As It Gets (1997)	 So I Married an Axe Murderer (1993)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)
Everyone Says I Love You (1996)	 Aliens (1986)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)
What's Eating Gilbert Grape (1993)	 Wrong Trousers, The (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)
Mighty Aphrodite (1995)	 Haunted World of Edward D. Wood Jr., The (1995)	 Brazil (1985)	 Snow White and the Seven Dwarfs (1937)
Maltese Falcon, The (1941)	 Jack (1996)	 In the Name of the Father (1993)	 Local Hero (1983)
Ulee's Gold (1997)	 Apocalypse Now (1979)	 It Happened One Night (1934)	 Princess Bride, The (1987)
Supercop (1992)	 English Patient, The (1996)	 Everyone Says I Love You (1996)	 Raiders of the Lost Ark (1981)
Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Heat (1995)	 Brazil (1985)
Priest (1994)	 Ulee's Gold (1997)	 M*A*S*H (1970)	 GoodFellas (1990)

888	 785	 464	 303
Breakdown (1997)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Snow White and the Seven Dwarfs (1937)	 Trainspotting (1996)
Heathers (1989)	 Everyone Says I Love You (1996)	 Heavy Metal (1981)	 Snow White and the Seven Dwarfs (1937)
Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Haunted World of Edward D. Wood Jr., The (1995)	 Local Hero (1983)
GoodFellas (1990)	 Taxi Driver (1976)	 Ulee's Gold (1997)	 Maltese Falcon, The (1941)
GoldenEye (1995)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 Jack (1996)
Godfather: Part II, The (1974)	 Snow White and the Seven Dwarfs (1937)	 Angels and Insects (1995)	 Heat (1995)
Everyone Says I Love You (1996)	 Brazil (1985)	 Harold and Maude (1971)	 Heavy Metal (1981)
Raiders of the Lost Ark (1981)	 Cinema Paradiso (1988)	 Apartment, The (1960)	 Spawn (1997)
If Lucy Fell (1996)	 Heavy Metal (1981)	 Maltese Falcon, The (1941)	 Supercop (1992)
Fargo (1996)	 Heat (1995)	 One Night Stand (1997)	 Platoon (1986)

773	 177	 38	 352
3 Ninjas: High Noon At Mega Mountain (1998)	 Priest (1994)	 Priest (1994)	 Everyone Says I Love You (1996)
Heavy Metal (1981)	 Sneakers (1992)	 Legends of the Fall (1994)	 Taxi Driver (1976)
Heat (1995)	 It Happened One Night (1934)	 First Wives Club, The (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)
Everyone Says I Love You (1996)	 Ulee's Gold (1997)	 Mighty Aphrodite (1995)	 George of the Jungle (1997)
Taxi Driver (1976)	 Trainspotting (1996)	 Cinema Paradiso (1988)	 So I Married an Axe Murderer (1993)
Legends of the Fall (1994)	 English Patient, The (1996)	 Maltese Falcon, The (1941)	 Cop Land (1997)
What's Eating Gilbert Grape (1993)	 First Wives Club, The (1996)	 Ulee's Gold (1997)	 What's Eating Gilbert Grape (1993)
Brazil (1985)	 Rumble in the Bronx (1995)	 Princess Bride, The (1987)	 In & Out (1997)
In the Name of the Father (1993)	 Snow White and the Seven Dwarfs (1937)	 Brazil (1985)	 Graduate, The (1967)
Jack (1996)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Batman Forever (1995)

903	 560	 454	 263
Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Priest (1994)	 Snow White and the Seven Dwarfs (1937)
Bringing Up Baby (1938)	 Citizen Kane (1941)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)
Local Hero (1983)	 Shining, The (1980)	 Heat (1995)	 What's Eating Gilbert Grape (1993)
Gone with the Wind (1939)	 Bringing Up Baby (1938)	 Princess Bride, The (1987)	 Maltese Falcon, The (1941)
Brazil (1985)	 Snow White and the Seven Dwarfs (1937)	 Usual Suspects, The (1995)	 Harold and Maude (1971)
Snow White and the Seven Dwarfs (1937)	 Local Hero (1983)	 First Wives Club, The (1996)	 Amadeus (1984)
Gandhi (1982)	 It Happened One Night (1934)	 What's Eating Gilbert Grape (1993)	 Jack (1996)
Pump Up the Volume (1990)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)
Harold and Maude (1971)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Local Hero (1983)
Legends of the Fall (1994)	 Apartment, The (1960)	 Haunted World of Edward D. Wood Jr., The (1995)	 George of the Jungle (1997)

819	 463	 284	 354
Supercop (1992)	 Taxi Driver (1976)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)
Heavy Metal (1981)	 What's Eating Gilbert Grape (1993)	 Brazil (1985)	 Heat (1995)
Mighty Aphrodite (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Priest (1994)	 Spawn (1997)
Full Metal Jacket (1987)	 Four Weddings and a Funeral (1994)	 Princess Bride, The (1987)	 What's Eating Gilbert Grape (1993)
Priest (1994)	 Everyone Says I Love You (1996)	 Jack (1996)	 Snow White and the Seven Dwarfs (1937)
Legends of the Fall (1994)	 Heat (1995)	 Maltese Falcon, The (1941)	 Wings of Desire (1987)
What's Eating Gilbert Grape (1993)	 Raising Arizona (1987)	 Cinema Paradiso (1988)	 Local Hero (1983)
Cinema Paradiso (1988)	 Casino (1995)	 GoodFellas (1990)	 Jack (1996)
Wings of Desire (1987)	 Snow White and the Seven Dwarfs (1937)	 Raiders of the Lost Ark (1981)	 3 Ninjas: High Noon At Mega Mountain (1998)
2001: A Space Odyssey (1968)	 Emma (1996)	 What's Eating Gilbert Grape (1993)	 It Happened One Night (1934)

